ID;Player Name;Team Name;Transfermarkt Link
61;Szwoch M.;Wis³a P³ock;https://www.transfermarkt.com/mateusz-szwoch/profil/spieler/199302
62;Lesniak F.;Wis³a P³ock;https://www.transfermarkt.com/filip-lesniak/profil/spieler/186383
63;Kocy³a  D.;Wis³a P³ock;https://www.transfermarkt.com/dawid-kocyla/profil/spieler/605780
64;Adamczyk H.;Wis³a P³ock;https://www.transfermarkt.com/hubert-adamczyk/profil/spieler/287235
65;Rasak D.;Wis³a P³ock;https://www.transfermarkt.com/damian-rasak/profil/spieler/255910
66;Tuszyñski P.;Wis³a P³ock;https://www.transfermarkt.com/patryk-tuszynski/profil/spieler/110856
67;Lewandowski  M.;Wis³a P³ock;https://www.transfermarkt.com/mateusz-lewandowski/profil/spieler/173339
68;Lagator D.;Wis³a P³ock;https://www.transfermarkt.com/dusan-lagator/profil/spieler/246831
69;Tomasik P.;Wis³a P³ock;https://www.transfermarkt.com/piotr-tomasik/profil/spieler/84918
70;Susnjara L.;Wis³a P³ock;https://www.transfermarkt.com/luka-susnjara/profil/spieler/334724
71;Plach F.;Piast Gliwice;https://www.transfermarkt.com/frantisek-plach/profil/spieler/404345
72;Rymaniak B.;Piast Gliwice;https://www.transfermarkt.com/bartosz-rymaniak/profil/spieler/81257
73;Huk T.;Piast Gliwice;https://www.transfermarkt.com/tomas-huk/profil/spieler/181612
74;Czerwiñski J.;Piast Gliwice;https://www.transfermarkt.com/jakub-czerwinski/profil/spieler/143282
75;Konczkowski M.;Piast Gliwice;https://www.transfermarkt.com/martin-konczkowski/profil/spieler/258799
76;Badia G.;Piast Gliwice;https://www.transfermarkt.com/gerard-badia/profil/spieler/95430
77;Chrapek M.;Œl¹sk Wroc³aw;https://www.transfermarkt.com/michal-chrapek/profil/spieler/117683
78;Jod³owiec T.;Piast Gliwice;https://www.transfermarkt.com/tomasz-jodlowiec/profil/spieler/27261
79;Pyrka  A.;Piast Gliwice;https://www.transfermarkt.com/arkadiusz-pyrka/profil/spieler/599733
80;Soko³owski P.;Piast Gliwice;https://www.transfermarkt.com/patryk-sokolowski/profil/spieler/284871
81;Œwierczok J.;Piast Gliwice;https://www.transfermarkt.com/jakub-swierczok/profil/spieler/193554
82;Lipski P.;Piast Gliwice;https://www.transfermarkt.com/patryk-lipski/profil/spieler/255392
83;Vida K.;Piast Gliwice;https://www.transfermarkt.com/kristopher-vida/profil/spieler/164837
84;¯yro M.;Piast Gliwice;https://www.transfermarkt.com/michal-zyro/profil/spieler/67431
85;Steczyk  D.;Piast Gliwice;https://www.transfermarkt.com/dominik-steczyk/profil/spieler/344415
86;Majecki R.;Legia Warszawa;https://www.transfermarkt.com/radoslaw-majecki/profil/spieler/346546
87;Karbownik M.;Legia Warszawa;https://www.transfermarkt.com/michal-karbownik/profil/spieler/401604
88;Jêdrzejczyk A.;Legia Warszawa;https://www.transfermarkt.com/artur-jedrzejczyk/profil/spieler/42401
89;Wieteska M.;Legia Warszawa;https://www.transfermarkt.com/mateusz-wieteska/profil/spieler/208172
90;Lewczuk I.;Legia Warszawa;https://www.transfermarkt.com/igor-lewczuk/profil/spieler/63265
91;Luquinhas;Legia Warszawa;https://www.transfermarkt.com/luquinhas/profil/spieler/402825
92;Antoliæ D.;Legia Warszawa;https://www.transfermarkt.com/domagoj-antolic/profil/spieler/48810
93;Martins A.;Legia Warszawa;https://www.transfermarkt.com/andre-martins/profil/spieler/90367
94;Wszo³ek P.;Legia Warszawa;https://www.transfermarkt.com/pawel-wszolek/profil/spieler/164759
95;Novikovas A.;Legia Warszawa;https://www.transfermarkt.com/arvydas-novikovas/profil/spieler/87444
96;Kante J.;Legia Warszawa;https://www.transfermarkt.com/jose-kante/profil/spieler/247276
97;Praszelik M.;Legia Warszawa;https://www.transfermarkt.com/mateusz-praszelik/profil/spieler/374418
98;Gwilia W.;Legia Warszawa;https://www.transfermarkt.com/valeriane-gvilia/profil/spieler/335191
99;Niezgoda J.;Legia Warszawa;https://www.transfermarkt.com/jaroslaw-niezgoda/profil/spieler/269446
